Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users/search?first_name=%D0%90&last_name=%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2,1,0,90.33239999553189,90.33239999553189,90.33239999553189,90.33239999553189,2.0,0.03193024078452625,0.0,90,90,90,90,90,90,90,90,90,90,90
GET,/users/search?first_name=%D0%90&last_name=%D0%91%D0%B5%D0%BB%D1%8F%D0%B5%D0%B2,1,0,113.64611900353339,113.64611900353339,113.64611900353339,113.64611900353339,2.0,0.03193024078452625,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/users/search?first_name=%D0%90&last_name=%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B0,1,0,103.91460100072436,103.91460100072436,103.91460100072436,103.91460100072436,2.0,0.03193024078452625,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/users/search?first_name=%D0%90&last_name=%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2,1,0,73.33859000209486,73.33859000209486,73.33859000209486,73.33859000209486,2.0,0.03193024078452625,0.0,73,73,73,73,73,73,73,73,73,73,73
GET,/users/search?first_name=%D0%90&last_name=%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%B8%D0%BD%D0%B0,1,0,194.82508199871518,194.82508199871518,194.82508199871518,194.82508199871518,2.0,0.03193024078452625,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/users/search?first_name=%D0%90&last_name=%D0%93%D0%BE%D1%80%D0%B5%D0%BB%D0%BE%D0%B2,1,0,103.43579600157682,103.43579600157682,103.43579600157682,103.43579600157682,2.0,0.03193024078452625,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/users/search?first_name=%D0%90&last_name=%D0%93%D1%80%D0%B0%D1%87%D0%B5%D0%B2%D0%B0,1,0,111.64284299593419,111.64284299593419,111.64284299593419,111.64284299593419,2.0,0.03193024078452625,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/users/search?first_name=%D0%90&last_name=%D0%94%D0%B5%D0%BC%D0%B5%D0%BD%D1%82%D1%8C%D0%B5%D0%B2%D0%B0,1,0,81.46411800407805,81.46411800407805,81.46411800407805,81.46411800407805,2.0,0.03193024078452625,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/users/search?first_name=%D0%90&last_name=%D0%94%D0%B5%D0%BD%D0%B8%D1%81%D0%BE%D0%B2%D0%B0,1,0,147.1171820012387,147.1171820012387,147.1171820012387,147.1171820012387,2.0,0.03193024078452625,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/users/search?first_name=%D0%90&last_name=%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D0%B8%D0%BD,1,0,81.8728540034499,81.8728540034499,81.8728540034499,81.8728540034499,2.0,0.03193024078452625,0.0,82,82,82,82,82,82,82,82,82,82,82
GET,/users/search?first_name=%D0%90&last_name=%D0%97%D0%B0%D1%85%D0%B0%D1%80%D0%BE%D0%B2%D0%B0,1,0,216.94275900517823,216.94275900517823,216.94275900517823,216.94275900517823,2.0,0.03193024078452625,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/users/search?first_name=%D0%90&last_name=%D0%97%D0%B2%D0%B5%D1%80%D0%B5%D0%B2,1,0,241.70079499890562,241.70079499890562,241.70079499890562,241.70079499890562,2.0,0.03193024078452625,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/users/search?first_name=%D0%90&last_name=%D0%98%D1%81%D0%B0%D0%B5%D0%B2,1,0,91.39972499542637,91.39972499542637,91.39972499542637,91.39972499542637,2.0,0.03193024078452625,0.0,91,91,91,91,91,91,91,91,91,91,91
GET,/users/search?first_name=%D0%90&last_name=%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD,1,0,76.26830200024415,76.26830200024415,76.26830200024415,76.26830200024415,2.0,0.03193024078452625,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/users/search?first_name=%D0%90&last_name=%D0%9A%D0%B0%D0%BB%D0%BC%D1%8B%D0%BA%D0%BE%D0%B2,1,0,253.37895499978913,253.37895499978913,253.37895499978913,253.37895499978913,2.0,0.03193024078452625,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/users/search?first_name=%D0%90&last_name=%D0%9B%D0%B0%D0%B2%D1%80%D0%BE%D0%B2,1,0,89.090933004627,89.090933004627,89.090933004627,89.090933004627,2.0,0.03193024078452625,0.0,89,89,89,89,89,89,89,89,89,89,89
GET,/users/search?first_name=%D0%90&last_name=%D0%9B%D0%B0%D1%80%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0,1,0,201.50509499944746,201.50509499944746,201.50509499944746,201.50509499944746,2.0,0.03193024078452625,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/users/search?first_name=%D0%90&last_name=%D0%9B%D0%B0%D1%82%D1%8B%D1%88%D0%B5%D0%B2%D0%B0,1,0,95.33283100608969,95.33283100608969,95.33283100608969,95.33283100608969,2.0,0.03193024078452625,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/users/search?first_name=%D0%90&last_name=%D0%9C%D0%B0%D1%82%D0%B2%D0%B5%D0%B5%D0%B2,1,0,231.14566400181502,231.14566400181502,231.14566400181502,231.14566400181502,2.0,0.03193024078452625,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/users/search?first_name=%D0%90&last_name=%D0%9D%D0%B5%D1%81%D1%82%D0%B5%D1%80%D0%BE%D0%B2%D0%B0,1,0,164.8186070015072,164.8186070015072,164.8186070015072,164.8186070015072,2.0,0.03193024078452625,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/users/search?first_name=%D0%90&last_name=%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D0%B8%D0%BD,1,0,269.1634119983064,269.1634119983064,269.1634119983064,269.1634119983064,2.0,0.03193024078452625,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/users/search?first_name=%D0%90&last_name=%D0%9D%D0%B8%D0%BA%D0%BE%D0%BD%D0%BE%D0%B2,1,0,93.30061400396517,93.30061400396517,93.30061400396517,93.30061400396517,2.0,0.03193024078452625,0.0,93,93,93,93,93,93,93,93,93,93,93
GET,/users/search?first_name=%D0%90&last_name=%D0%9F%D0%BE%D1%82%D0%B0%D0%BF%D0%BE%D0%B2%D0%B0,1,0,125.77311499626376,125.77311499626376,125.77311499626376,125.77311499626376,2.0,0.03193024078452625,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/users/search?first_name=%D0%90&last_name=%D0%A1%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B2,1,0,121.03759199817432,121.03759199817432,121.03759199817432,121.03759199817432,2.0,0.03193024078452625,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/users/search?first_name=%D0%90&last_name=%D0%A1%D0%BE%D0%BB%D0%BE%D0%B2%D1%8C%D0%B5%D0%B2%D0%B0,1,0,87.24940499814693,87.24940499814693,87.24940499814693,87.24940499814693,2.0,0.03193024078452625,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/users/search?first_name=%D0%90&last_name=%D0%A1%D0%BE%D1%84%D1%80%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0,1,0,177.74026400002185,177.74026400002185,177.74026400002185,177.74026400002185,2.0,0.03193024078452625,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/users/search?first_name=%D0%90&last_name=%D0%A2%D0%BE%D0%BA%D0%B0%D1%80%D0%B5%D0%B2%D0%B0,1,0,87.16656900651287,87.16656900651287,87.16656900651287,87.16656900651287,2.0,0.03193024078452625,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/users/search?first_name=%D0%90&last_name=%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D0%BF%D0%BE%D0%B2%D0%B0,1,0,89.5190340015688,89.5190340015688,89.5190340015688,89.5190340015688,2.0,0.03193024078452625,0.0,90,90,90,90,90,90,90,90,90,90,90
GET,/users/search?first_name=%D0%90&last_name=%D0%A5%D0%BE%D1%85%D0%BB%D0%BE%D0%B2,1,0,69.36827200115658,69.36827200115658,69.36827200115658,69.36827200115658,2.0,0.03193024078452625,0.0,69,69,69,69,69,69,69,69,69,69,69
GET,/users/search?first_name=%D0%90&last_name=%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D0%B2%D0%B0,1,0,78.21879599941894,78.21879599941894,78.21879599941894,78.21879599941894,2.0,0.03193024078452625,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/users/search?first_name=%D0%90&last_name=%D0%A9%D0%B5%D1%80%D0%B1%D0%B0%D0%BA%D0%BE%D0%B2%D0%B0,1,0,80.52503000362776,80.52503000362776,80.52503000362776,80.52503000362776,2.0,0.03193024078452625,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/users/search?first_name=%D0%91&last_name=%D0%93%D1%80%D0%BE%D0%BC%D0%BE%D0%B2,1,0,156.97655500116525,156.97655500116525,156.97655500116525,156.97655500116525,2.0,0.03193024078452625,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/users/search?first_name=%D0%91&last_name=%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2,1,0,70.4895029994077,70.4895029994077,70.4895029994077,70.4895029994077,2.0,0.03193024078452625,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/users/search?first_name=%D0%92&last_name=%D0%91%D0%B0%D0%B6%D0%B5%D0%BD%D0%BE%D0%B2,1,0,88.1588219999685,88.1588219999685,88.1588219999685,88.1588219999685,2.0,0.03193024078452625,0.0,88,88,88,88,88,88,88,88,88,88,88
GET,/users/search?first_name=%D0%92&last_name=%D0%91%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0,1,0,111.47854600130813,111.47854600130813,111.47854600130813,111.47854600130813,2.0,0.03193024078452625,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/users/search?first_name=%D0%92&last_name=%D0%91%D1%83%D1%80%D0%BE%D0%B2%D0%B0,1,0,89.33367899589939,89.33367899589939,89.33367899589939,89.33367899589939,2.0,0.03193024078452625,0.0,89,89,89,89,89,89,89,89,89,89,89
